,Y,X,Species,Tissue,Status,Count,Height,PlotN
62,4,2,XXXlitter,NA,Dead,NA,NA,SP01
63,4,3,XXXothergram,Leaf,Live,1,3.9,SP01
64,4,3,XXXotherforb,Leaf,Live,1,NA,SP01
65,4,3,XXXlitter,NA,Dead,NA,NA,SP01
66,4,4,XXXothermoss,NA,Live,NA,0,SP01
67,4,5,XXXotherforb,Leaf,Live,1,3.5,SP01
68,4,5,XXXlitter,NA,Dead,NA,NA,SP01
69,4,5,XXXothermoss,NA,Live,NA,NA,SP01
70,4,6,XXXotherforb,Leaf,Live,2,2.1,SP01
71,4,6,XXXotherforb,Leaf,Live,1,NA,SP01
72,4,6,XXXothermoss,NA,Live,NA,NA,SP01
73,5,1,XXXotherforb,Leaf,Live,2,4.1,SP01
74,5,1,XXXlitter,NA,Dead,NA,NA,SP01
75,5,2,XXXotherforb,Leaf,Live,1,6,SP01
76,5,2,XXXlitter,NA,Dead,NA,NA,SP01
77,5,3,Salix richardsonii,Leaf,Live,3,19.6,SP01
78,5,3,Salix richardsonii,Stem,Live,1,NA,SP01
79,5,3,XXXotherforb,Leaf,Live,3,NA,SP01
80,5,3,XXXlitter,NA,Dead,NA,NA,SP01
81,5,3,XXXothermoss,NA,Live,NA,NA,SP01
82,5,4,XXXothermoss,NA,Live,NA,0,SP01
83,5,5,XXXotherforb,Leaf,Live,2,2.4,SP01
84,5,5,XXXlitter,NA,Dead,NA,NA,SP01
85,5,5,XXXothermoss,NA,Live,NA,NA,SP01
86,5,6,XXXothergram,Leaf,Live,1,8.2,SP01
87,5,6,XXXotherforb,Leaf,Live,2,NA,SP01
88,5,6,XXXothermoss,NA,Live,NA,NA,SP01
89,6,1,XXXotherforb,Stem,Live,1,2.6,SP01
90,6,1,XXXothergram,Leaf,Live,1,NA,SP01
91,6,1,XXXothermoss,NA,Live,NA,NA,SP01
92,6,2,XXXothergram,Leaf,Live,1,5.7,SP01
93,6,2,XXXotherforb,Leaf,Live,1,NA,SP01
94,6,2,XXXothermoss,NA,Live,NA,NA,SP01
95,6,3,XXXotherforb,Leaf,Live,1,2.9,SP01
96,6,3,XXXotherforb,Stem,NA,2,NA,SP01
97,6,3,Salix arctica,Leaf,Live,1,NA,SP01
98,6,3,XXXlitter,NA,Dead,NA,NA,SP01
99,6,4,XXXotherforb,Leaf,Live,1,2.4,SP01
100,6,4,XXXothergram,Stem,NA,2,NA,SP01
101,6,4,XXXlitter,NA,Dead,NA,NA,SP01
102,6,4,XXXothermoss,NA,Live,NA,NA,SP01
103,6,5,XXXotherforb,Leaf,Live,1,1.9,SP01
104,6,5,XXXothermoss,NA,Live,NA,NA,SP01
105,6,6,XXXothergram,Leaf,Live,1,4.2,SP01
106,6,6,XXXotherforb,Leaf,NA,NA,NA,SP01
107,6,6,Salix arctica,Leaf,Live,NA,NA,SP01
108,6,6,XXXlitter,NA,Dead,NA,NA,SP01
109,1,1,XXXothergram,Leaf,Live,3,6,SP02
110,1,1,Salix arctica,Leaf,Live,1,NA,SP02
111,1,1,XXXotherforb,Leaf,Live,1,NA,SP02
112,1,1,XXXlitter,NA,Dead,NA,NA,SP02
113,1,1,XXXothermoss,NA,Live,NA,NA,SP02
114,1,2,XXXotherforb,Leaf,Live,1,4.9,SP02
115,1,2,XXXlitter,NA,Dead,NA,NA,SP02
116,1,2,XXXothermoss,NA,Live,NA,NA,SP02
117,1,3,XXXothergram,Stem,Live,2,6,SP02
118,1,3,Salix arctica,Leaf,Live,1,NA,SP02
119,1,3,XXXlitter,NA,Dead,NA,NA,SP02
120,1,3,XXXothermoss,NA,Live,NA,NA,SP02
121,1,4,Salix arctica,Flower,Live,4,9.2,SP02
122,1,4,Salix arctica,Leaf,Live,2,NA,SP02
123,1,4,Salix arctica,Stem,Live,1,NA,SP02
124,1,4,XXXlitter,NA,Dead,NA,NA,SP02
125,1,4,XXXothermoss,NA,Live,NA,NA,SP02
126,1,5,Salix richardsonii,Leaf,Live,4,7.1,SP02
127,1,5,XXXotherforb,Leaf,Live,1,NA,SP02
128,1,5,XXXothergram,Leaf,Live,2,NA,SP02
129,1,5,XXXothermoss,NA,Live,NA,NA,SP02
130,1,6,XXXotherforb,Leaf,Live,3,3.4,SP02
131,1,6,XXXothergram,Leaf,Live,1,NA,SP02
132,1,6,XXXlitter,NA,Dead,NA,NA,SP02
133,1,6,XXXothermoss,NA,Live,NA,NA,SP02
134,2,1,XXXothergram,Leaf,Live,3,19.7,SP02
135,2,1,XXXotherforb,Seed pod,Live,1,NA,SP02
136,2,1,Salix arctica,Leaf,Live,2,NA,SP02
137,2,1,XXXotherforb,Leaf,Live,1,NA,SP02
138,2,1,XXXlitter,NA,Dead,NA,NA,SP02
139,2,2,Salix arctica,Leaf,Live,3,4,SP02
140,2,2,Salix arctica,Stem,Live,1,NA,SP02
141,2,2,XXXlitter,NA,Dead,NA,NA,SP02
142,2,2,XXXothermoss,NA,Live,NA,NA,SP02
143,2,3,Salix arctica,Leaf,Live,1,3.8,SP02
144,2,3,XXXotherforb,Leaf,Live,2,NA,SP02
145,2,3,XXXothergram,Leaf,Live,1,NA,SP02
146,2,3,XXXothergram,Stem,Live,1,NA,SP02
147,2,3,XXXlitter,NA,Dead,NA,NA,SP02
148,2,4,XXXotherforb,Leaf,Live,5,8.8,SP02
149,2,4,Salix arctica,Leaf,Live,1,NA,SP02
150,2,4,XXXlitter,NA,Dead,NA,NA,SP02
151,2,5,XXXotherforb,Leaf,Live,4,7.7,SP02
152,2,5,Salix arctica,Leaf,Live,1,NA,SP02
153,2,5,XXXothergram,Leaf,Live,1,NA,SP02
154,2,5,XXXlitter,NA,Dead,NA,NA,SP02
155,2,5,XXXothermoss,NA,Live,NA,NA,SP02
156,2,6,Salix arctica,Leaf,Live,1,4.5,SP02
157,2,6,XXXotherforb,Leaf,Live,2,NA,SP02
158,2,6,XXXlitter,NA,Dead,NA,NA,SP02
159,2,6,XXXothermoss,NA,Live,NA,NA,SP02
160,3,1,XXXothergram,Leaf,Live,3,15.1,SP02
161,3,1,Salix arctica,Stem,Live,1,NA,SP02
162,3,1,Salix arctica,Leaf,Live,1,NA,SP02
163,3,1,XXXlitter,NA,Dead,NA,NA,SP02
164,3,1,XXXothermoss,NA,Live,NA,NA,SP02
165,3,2,Salix richardsonii,Leaf,Live,1,5.6,SP02
166,3,2,Salix richardsonii,Stem,Live,1,NA,SP02
167,3,2,XXXotherforb,Stem,Live,1,NA,SP02
168,3,2,XXXlitter,NA,Dead,NA,NA,SP02
169,3,2,XXXothermoss,NA,Live,NA,NA,SP02
170,3,3,XXXotherforb,Leaf,Live,3,9,SP02
171,3,3,XXXothergram,Leaf,Live,2,NA,SP02
172,3,3,XXXothergram,Leaf,Live,3,NA,SP02
173,3,3,XXXlitter,NA,Dead,NA,NA,SP02
174,3,3,XXXothermoss,NA,Live,NA,NA,SP02
175,3,4,XXXotherforb,Leaf,Live,2,6.1,SP02
176,3,4,Salix arctica,Leaf,Live,NA,NA,SP02
177,3,4,XXXlitter,NA,Dead,3,NA,SP02
178,3,4,XXXothermoss,NA,Live,NA,NA,SP02
179,3,5,XXXothergram,Leaf,Live,1,2.6,SP02
180,3,5,XXXothergram,Leaf,Live,2,NA,SP02
181,3,5,Salix arctica,Leaf,Live,1,NA,SP02
182,3,5,XXXothermoss,NA,Live,NA,NA,SP02
183,3,6,XXXothergram,Leaf,Live,4,12.4,SP02
184,3,6,XXXothergram,Leaf,Live,1,NA,SP02
185,3,6,XXXotherforb,Leaf,Live,2,NA,SP02
186,3,6,Salix arctica,Leaf,Live,1,NA,SP02
187,3,6,XXXlitter,NA,Dead,NA,NA,SP02
188,3,6,XXXothermoss,NA,Live,NA,NA,SP02
189,4,1,XXXothergram,Leaf,Live,1,3.8,SP02
190,4,1,XXXotherforb,Leaf,Live,2,NA,SP02
191,4,1,Salix richardsonii,Leaf,Live,1,NA,SP02
192,4,1,XXXlitter,NA,Dead,NA,NA,SP02
193,4,2,XXXotherforb,Flower,Live,1,3.7,SP02
194,4,2,XXXotherforb,Leaf,Live,1,NA,SP02
195,4,2,XXXothergram,Leaf,Live,1,NA,SP02
196,4,2,XXXothergram,Leaf,Live,1,NA,SP02
197,4,2,XXXlitter,NA,Dead,NA,NA,SP02
198,4,3,XXXotherforb,Leaf,Live,4,10.3,SP02
199,4,3,Salix arctica,Stem,Live,2,NA,SP02
200,4,3,XXXothergram,Stem,Live,1,NA,SP02
201,4,3,XXXlitter,NA,Dead,NA,NA,SP02
202,4,3,XXXothermoss,NA,Live,NA,NA,SP02
203,4,4,XXXotherforb,Seed pod,Live,1,6.2,SP02
204,4,4,XXXotherforb,Leaf,Live,1,NA,SP02
205,4,4,XXXothergram,Leaf,Live,2,NA,SP02
206,4,4,XXXlitter,NA,Dead,NA,NA,SP02
207,4,4,XXXothermoss,NA,Live,NA,NA,SP02
208,4,5,XXXothergram,Leaf,Live,3,9.2,SP02
209,4,5,XXXothergram,Leaf,Live,2,NA,SP02
210,4,5,XXXothergram,Leaf,Live,2,NA,SP02
211,4,5,Salix richardsonii,Leaf,Live,1,NA,SP02
212,4,5,XXXlitter,NA,Dead,NA,NA,SP02
213,4,5,XXXothermoss,NA,Live,NA,NA,SP02
214,4,6,XXXotherforb,Leaf,Live,4,7.2,SP02
215,4,6,Salix arctica,Leaf,Live,1,NA,SP02
216,4,6,XXXlitter,NA,Dead,NA,NA,SP02
217,4,6,XXXothermoss,NA,Live,NA,NA,SP02
218,5,1,Salix arctica,Leaf,Live,2,0.7,SP02
219,5,1,XXXlitter,NA,Dead,NA,NA,SP02
220,5,2,XXXothergram,Leaf,Live,1,5.3,SP02
221,5,2,XXXotherforb,Leaf,Live,1,NA,SP02
222,5,2,Salix arctica,Leaf,Live,1,NA,SP02
223,5,2,XXXlitter,NA,Dead,NA,NA,SP02
224,5,2,XXXothermoss,NA,Live,NA,NA,SP02
225,5,3,XXXothergram,Leaf,Live,2,5.3,SP02
226,5,3,XXXotherforb,Stem,Live,1,NA,SP02
227,5,3,XXXlitter,NA,Dead,NA,NA,SP02
228,5,4,XXXothergram,Leaf,Live,1,9.6,SP02
229,5,4,XXXothergram,Leaf,Live,2,NA,SP02
230,5,4,Salix richardsonii,Leaf,Live,1,NA,SP02
231,5,4,XXXlitter,NA,Dead,NA,NA,SP02
232,5,5,Salix richardsonii,Leaf,Live,2,13.7,SP02
233,5,5,XXXotherforb,Leaf,Live,2,NA,SP02
234,5,5,XXXotherforb,Leaf,Live,1,NA,SP02
235,5,5,XXXlitter,NA,Dead,NA,NA,SP02
236,5,5,XXXothermoss,NA,Live,NA,NA,SP02
237,5,6,XXXotherforb,Seed pod,Live,1,6.9,SP02
238,5,6,XXXotherforb,Leaf,Live,4,NA,SP02
239,5,6,XXXlitter,NA,Dead,NA,NA,SP02
240,5,6,XXXothermoss,NA,Live,NA,NA,SP02
241,6,1,Salix richardsonii,Stem,Live,1,7.2,SP02
242,6,1,Salix arctica,Leaf,Live,1,NA,SP02
243,6,1,XXXlitter,NA,Dead,NA,NA,SP02
244,6,1,XXXothermoss,NA,Live,NA,NA,SP02
245,6,2,XXXothergram,Leaf,Live,1,2.7,SP02
246,6,2,XXXothergram,Leaf,Live,1,NA,SP02
247,6,2,XXXlitter,Leaf,Dead,1,NA,SP02
248,6,3,XXXotherforb,Leaf,Live,2,2.4,SP02
249,6,3,XXXothergram,Leaf,Live,3,NA,SP02
250,6,3,XXXlitter,NA,Dead,NA,NA,SP02
251,6,3,XXXothermoss,NA,Live,NA,NA,SP02
252,6,4,XXXothergram,Leaf,Live,1,5.7,SP02
253,6,4,XXXothergram,Leaf,Live,2,NA,SP02
254,6,4,Salix arctica,Leaf,Live,1,NA,SP02
255,6,4,XXXlitter,NA,Dead,NA,NA,SP02
256,6,4,XXXothermoss,NA,Live,NA,NA,SP02
257,6,5,XXXotherforb,Leaf,Live,1,3.6,SP02
258,6,5,Salix arctica,Leaf,Live,1,NA,SP02
259,6,5,XXXothergram,Leaf,Live,1,NA,SP02
260,6,5,XXXlitter,NA,Dead,NA,NA,SP02
261,6,5,XXXothermoss,NA,Live,NA,NA,SP02
262,6,6,Salix arctica,Leaf,Live,2,4.6,SP02
263,6,6,Salix arctica,Stem,Live,1,NA,SP02
264,6,6,XXXlitter,NA,Dead,NA,NA,SP02
265,6,6,XXXothermoss,NA,Live,NA,NA,SP02
266,1,1,XXXotherforb,Leaf,Live,1,5.1,SP03
267,1,1,Salix arctica,Leaf,Live,2,NA,SP03
268,1,1,XXXlitter,NA,Dead,NA,NA,SP03
269,1,2,Salix arctica,Leaf,Live,1,10.5,SP03
270,1,2,XXXothergram,Leaf,Live,3,NA,SP03
271,1,2,XXXothergram,Leaf,Live,1,NA,SP03
272,1,2,XXXlitter,NA,Dead,NA,NA,SP03
273,1,3,XXXothergram,Leaf,Live,1,10,SP03
274,1,3,XXXothergram,Leaf,Live,4,NA,SP03
275,1,3,XXXothermoss,NA,Live,NA,NA,SP03
276,1,3,XXXlitter,NA,Dead,NA,NA,SP03
277,1,4,Salix arctica,Leaf,Live,1,3.6,SP03
278,1,4,XXXothergram,Leaf,Live,2,NA,SP03
279,1,4,XXXlitter,NA,Dead,NA,NA,SP03
280,1,5,Equisetum,Stem,Live,2,3.6,SP03
281,1,5,XXXotherforb,Leaf,Live,1,NA,SP03
282,1,5,XXXothermoss,NA,Live,NA,NA,SP03
283,1,6,XXXothergram,Stem,Live,1,5.1,SP03
284,1,6,XXXothergram,Leaf,Live,2,NA,SP03
285,1,6,XXXothergram,Leaf,Live,2,NA,SP03
286,1,6,Salix arctica,Leaf,Live,1,NA,SP03
287,1,6,XXXothermoss,NA,Live,NA,NA,SP03
288,2,1,XXXotherforb,Leaf,Live,3,6.4,SP03
289,2,1,Salix arctica,Leaf,Live,1,NA,SP03
290,2,1,XXXothermoss,NA,Live,NA,NA,SP03
291,2,2,XXXotherforb,Leaf,Live,1,4.1,SP03
292,2,2,Salix arctica,Leaf,Live,2,NA,SP03
293,2,2,XXXlitter,NA,Dead,NA,NA,SP03
294,2,2,XXXothermoss,NA,Live,NA,NA,SP03
295,2,3,XXXothergram,Leaf,Live,2,5.1,SP03
296,2,3,XXXothergram,Leaf,Live,1,NA,SP03
297,2,3,XXXlitter,NA,Dead,NA,NA,SP03
298,2,3,XXXothermoss,NA,Live,NA,NA,SP03
299,2,4,Salix richardsonii,Leaf,Live,1,10.6,SP03
300,2,4,XXXotherforb,Leaf,Live,4,NA,SP03
301,2,4,XXXotherforb,Leaf,Live,1,NA,SP03
302,2,4,XXXotherforb,Stem,Live,1,NA,SP03
303,2,4,XXXlitter,NA,Dead,NA,NA,SP03
304,2,4,XXXothermoss,NA,Live,NA,NA,SP03
305,2,5,XXXotherforb,Leaf,Live,1,4.9,SP03
306,2,5,Salix arctica,Stem,Live,1,NA,SP03
307,2,5,XXXlitter,NA,Dead,NA,NA,SP03
308,2,6,XXXothergram,Leaf,Live,1,1.2,SP03
309,2,6,XXXothermoss,NA,Live,NA,NA,SP03
310,3,1,Salix arctica,Stem,Live,1,0.9,SP03
311,3,1,XXXlitter,NA,Dead,NA,NA,SP03
312,3,2,Salix arctica,Leaf,Live,1,2.4,SP03
313,3,2,XXXothergram,Leaf,Live,1,NA,SP03
314,3,2,XXXlitter,NA,Dead,NA,NA,SP03
315,3,2,XXXothermoss,NA,Live,NA,NA,SP03
316,3,3,Salix richardsonii,Stem,Live,1,3.4,SP03
317,3,3,Salix arctica,Leaf,Live,1,NA,SP03
318,3,3,XXXlitter,NA,Dead,NA,NA,SP03
319,3,3,XXXothermoss,NA,Live,NA,NA,SP03
320,3,4,XXXothergram,Stem,Live,1,2.9,SP03
321,3,4,XXXotherforb,Leaf,Live,1,NA,SP03
322,3,4,XXXlitter,NA,Dead,NA,NA,SP03
323,3,5,XXXotherforb,Stem,Live,1,11.1,SP03
324,3,5,XXXotherforb,Flower,Live,1,NA,SP03
325,3,5,XXXotherforb,Leaf,Live,2,NA,SP03
326,3,5,XXXothergram,Leaf,Live,2,NA,SP03
327,3,5,XXXlitter,NA,Dead,NA,NA,SP03
328,3,5,XXXothermoss,NA,Live,NA,NA,SP03
329,3,6,XXXotherforb,Leaf,Live,3,3.9,SP03
330,3,6,XXXothergram,Stem,Live,1,NA,SP03
331,3,6,XXXlitter,NA,Dead,NA,NA,SP03
332,3,6,XXXothermoss,NA,Live,NA,NA,SP03
333,4,1,XXXothergram,Flower,Live,1,14.3,SP03
334,4,1,Salix richardsonii,Stem,Live,1,NA,SP03
335,4,1,Salix arctica,Leaf,Live,2,NA,SP03
336,4,1,XXXlitter,NA,Dead,NA,NA,SP03
337,4,1,XXXothermoss,NA,Live,NA,NA,SP03
338,4,2,XXXotherforb,Leaf,Live,1,9.7,SP03
339,4,2,Salix arctica,Leaf,Live,1,NA,SP03
340,4,2,XXXlitter,NA,Dead,NA,NA,SP03
341,4,3,Salix richardsonii,Leaf,Live,3,13.4,SP03
342,4,3,Salix arctica,Leaf,Live,1,NA,SP03
343,4,3,XXXlitter,NA,Dead,NA,NA,SP03
344,4,3,XXXothermoss,NA,Live,NA,NA,SP03
345,4,4,XXXothergram,Leaf,Live,3,7.1,SP03
346,4,4,XXXotherforb,Leaf,Live,1,NA,SP03
347,4,4,XXXlitter,NA,Dead,NA,NA,SP03
348,4,5,XXXotherforb,Leaf,Live,1,4.2,SP03
349,4,5,XXXothergram,Leaf,Live,1,NA,SP03
350,4,5,XXXothergram,Leaf,Live,2,NA,SP03
351,4,5,XXXlitter,NA,Dead,NA,NA,SP03
352,4,6,XXXlitter,NA,Dead,NA,0,SP03
353,4,6,XXXothermoss,NA,Live,NA,NA,SP03
354,5,1,Salix arctica,Leaf,Live,1,6.1,SP03
355,5,1,XXXotherforb,Leaf,Live,1,NA,SP03
356,5,1,XXXothermoss,NA,Live,NA,NA,SP03
357,5,2,XXXothergram,Leaf,Live,1,4.6,SP03
358,5,2,Salix arctica,Leaf,Live,2,NA,SP03
359,5,2,XXXlitter,NA,Dead,NA,NA,SP03
360,5,2,XXXothermoss,NA,Live,NA,NA,SP03
361,5,3,XXXotherforb,Leaf,Live,3,3.9,SP03
362,5,3,XXXlitter,NA,Dead,NA,NA,SP03
363,5,3,XXXothermoss,NA,Live,NA,NA,SP03
364,5,4,XXXotherforb,Leaf,Live,2,4.9,SP03
365,5,4,XXXothergram,Leaf,Live,1,NA,SP03
366,5,4,XXXlitter,NA,Dead,NA,NA,SP03
367,5,5,XXXotherforb,Leaf,Live,1,3.1,SP03
368,5,5,XXXlitter,NA,Dead,NA,NA,SP03
369,5,6,XXXothergram,Stem,Live,1,5.1,SP03
370,5,6,XXXothergram,Flower,Live,1,NA,SP03
371,5,6,XXXothergram,Leaf,Live,1,NA,SP03
372,5,6,XXXotherforb,Leaf,Live,1,NA,SP03
373,5,6,XXXlitter,NA,Dead,NA,NA,SP03
374,6,1,XXXothergram,Leaf,Live,1,3.1,SP03
375,6,1,XXXotherforb,Leaf,Live,2,NA,SP03
376,6,1,XXXotherforb,Stem,Live,1,NA,SP03
377,6,1,XXXothermoss,NA,Live,NA,NA,SP03
378,6,2,XXXothermoss,NA,Live,NA,0,SP03
379,6,3,XXXothergram,Leaf,Live,3,10.7,SP03
380,6,3,XXXotherforb,Leaf,Live,2,NA,SP03
381,6,3,XXXlitter,NA,Dead,NA,NA,SP03
382,6,4,XXXothergram,Leaf,Live,1,8.6,SP03
383,6,4,Salix arctica,Leaf,Live,1,NA,SP03
384,6,4,XXXlitter,NA,Dead,NA,NA,SP03
385,6,5,Salix richardsonii,Leaf,Live,1,12.6,SP03
386,6,5,Salix richardsonii,Stem,Live,2,NA,SP03
387,6,5,XXXothergram,Stem,Live,1,NA,SP03
388,6,5,XXXothergram,Leaf,Live,1,NA,SP03
389,6,5,XXXothermoss,NA,Live,NA,NA,SP03
390,6,5,XXXotherforb,Leaf,Live,1,NA,SP03
391,6,6,XXXotherforb,Stem,Live,1,6.8,SP03
392,6,6,XXXotherforb,Leaf,Live,1,NA,SP03
393,6,6,Salix arctica,Leaf,Live,1,NA,SP03
394,6,6,Salix arctica,Stem,Live,1,NA,SP03
395,6,6,XXXothermoss,NA,Live,NA,NA,SP03
396,1,1,Salix arctica,Stem,Live,1,3.1,SP04
397,1,1,XXXvegetatedground,NA,Live,NA,NA,SP04
398,1,1,XXXvegetatedground,NA,Litter,NA,NA,SP04
399,1,2,Salix arctica,Leaf,Live,3,5.8,SP04
400,1,2,XXXvegetatedground,NA,Live,NA,NA,SP04
401,1,2,XXXvegetatedground,NA,Litter,NA,NA,SP04
402,1,3,XXXvegetatedground,NA,Live,NA,0,SP04
403,1,3,XXXvegetatedground,NA,Litter,NA,NA,SP04
404,1,4,XXXothergram,Leaf,Live,3,8.2,SP04
405,1,4,XXXvegetatedground,NA,Live,NA,NA,SP04
406,1,4,XXXvegetatedground,NA,Litter,NA,NA,SP04
407,1,5,XXXvegetatedground,NA,Litter,NA,0,SP04
408,1,5,XXXvegetatedground,NA,Live,NA,NA,SP04
409,1,6,Equisetum,Leaf,Live,2,4.9,SP04
410,1,6,XXXvegetatedground,NA,Live,NA,NA,SP04
411,2,1,Salix arctica,Leaf,Live,1,5,SP04
412,2,1,XXXothergram,Leaf,Live,1,NA,SP04
413,2,1,XXXvegetatedground,NA,Live,NA,NA,SP04
414,2,1,XXXvegetatedground,NA,Litter,NA,NA,SP04
415,2,2,XXXotherforb,Leaf,Live,1,3.4,SP04
416,2,2,XXXvegetatedground,NA,Live,NA,NA,SP04
417,2,2,XXXvegetatedground,NA,Litter,NA,NA,SP04
418,2,3,XXXvegetatedground,NA,Live,NA,0,SP04
419,2,4,Salix arctica,Leaf,Live,2,6.9,SP04
420,2,4,Salix arctica,Stem,Live,1,NA,SP04
421,2,4,XXXvegetatedground,NA,Live,NA,NA,SP04
422,2,4,XXXvegetatedground,NA,Litter,NA,NA,SP04
423,2,5,XXXothergram,Leaf,Live,1,7.9,SP04
424,2,5,Salix arctica,Leaf,Live,1,NA,SP04
425,2,5,XXXvegetatedground,NA,Litter,NA,NA,SP04
426,2,6,Equisetum,Leaf,Live,3,6.8,SP04
427,2,6,Salix arctica,Leaf,Live,1,NA,SP04
428,2,6,XXXvegetatedground,NA,Live,NA,NA,SP04
429,2,6,XXXvegetatedground,NA,Litter,NA,NA,SP04
430,3,1,Salix arctica,Leaf,Live,2,4.8,SP04
431,3,1,XXXotherforb,Leaf,Live,1,NA,SP04
432,3,1,XXXvegetatedground,NA,Live,NA,NA,SP04
433,3,2,XXXothergram,Leaf,Live,1,0.5,SP04
434,3,2,XXXvegetatedground,NA,Live,NA,NA,SP04
435,3,3,XXXothergram,Leaf,Live,2,2.4,SP04
436,3,3,XXXvegetatedground,NA,Litter,NA,NA,SP04
437,3,3,XXXvegetatedground,NA,Live,NA,NA,SP04
438,3,4,XXXothergram,Leaf,Live,1,11.1,SP04
439,3,4,XXXothergram,Leaf,Live,1,NA,SP04
440,3,4,XXXvegetatedground,NA,Live,NA,NA,SP04
441,3,4,XXXvegetatedground,NA,Litter,NA,NA,SP04
442,3,5,XXXothergram,Leaf,Live,3,4.2,SP04
443,3,5,Salix arctica,Leaf,Live,2,NA,SP04
444,3,5,XXXvegetatedground,NA,Litter,NA,NA,SP04
445,3,6,Salix arctica,Leaf,Live,1,4.7,SP04
446,3,6,XXXothergram,Leaf,Live,2,NA,SP04
447,3,6,XXXvegetatedground,NA,Live,NA,NA,SP04
448,3,6,XXXvegetatedground,NA,Litter,NA,NA,SP04
449,4,1,XXXotherforb,Leaf,Live,1,5.4,SP04
450,4,1,Salix arctica,Leaf,Live,1,NA,SP04
451,4,1,XXXvegetatedground,NA,Live,NA,NA,SP04
452,4,2,XXXotherforb,Seed pod,Live,1,8.1,SP04
453,4,2,Salix arctica,Leaf,Live,1,NA,SP04
454,4,2,XXXvegetatedground,NA,Live,NA,NA,SP04
455,4,2,XXXvegetatedground,NA,Litter,NA,NA,SP04
